UserID,productcode,review_rating
23024555,3501O0074,5
15768599,3731COLOSSEUM_SMALL,5
22347308,33310P1,5
19912215,8653P50,5
15768599,3858EE021,4
22380652,8512P5,5
83875,,5
23024466,2374PRTSLUCDS,5
22665318,6367P14,5
22665318,6404MILANONEDAY,5
22492613,19287P1,5
22665318,21945P19,1
23123615,6404MILANONEDAY,5
22472852,3731SKIP,2
22226473,5413P18,5
20127811,20455P16,5
20127811,8356P4,5
22226473,5695ATV,4
22472852,9872P13,5
20127811,2466GLAD,5
23042749,33865P1,4
22226473,15509P2,5
11142892,2460JUNG,5
11142892,2140JTEBA02,5
11142892,2550LIN13,5
22963045,26448P3,5
11142892,6290AMS4,5
11142892,2140BCNPARKGUELL,5
11142892,6884HIGHLIGHTS,5
11142892,16659P9,5
11142892,2145IT3,5
11142892,2145IT3,5
11142892,10425P5,5
21775325,28669P9,5
23188355,5885CUNCHI,4
16516271,5811MIDUXKA,5
14639852,2856HRCBCN,4
14639852,2140JTEBA07,3
14639852,22869SAGRADAEXC,3
23202666,5022MOULIN,5
22693535,3951WESTDLX,5
23144976,16125P6,5
12946477,7597P1,5
22101455,12040P2,5
12946477,5207CSTUA,5
8269484,3633FRASER2D,5
21321876,2292NOCKT,5
21063297,5885P120,4
16516271,5811MIDCHIDAY,3
22506143,6219TIKAL,4
22901603,35707P2,5
23184651,27140P2,5
22745123,3731COLOSSEUM,5
23204359,3780PADDLE,5
23163469,2402MUIRWINE,5
14986293,18937P4,5
22897862,6432MOBAY,5
7355443,6349VIPDC,4
11298910,8264P15,1
22782490,18744P11,5
22428147,26601P14,4
8013874,5808P30,3
22428147,26601P19,5
22428147,5548NYCAPTHTL,2
23046064,3780STEAM,5
22428147,5548NYCHTLAPT,4
22935222,15997P1,3
23112055,6687ATV,5
8013874,5808SHOW,5
22253978,26501P1,5
22944200,2476PUJAPTRND,3
8013874,5808DINNER,4
23046064,6205FOODNOLA,5
21972211,2635FLRCT,5
9123062,6176P9,5
8013874,6916JEWISH,5
9123062,31405,3
8013874,6785TEREZIN,5
22945281,7886P1,5
9123062,31401,5
22785773,9449P1,5
9123062,22145P1,5
8013874,2224PRAGUE,5
23046064,8013P1,5
8013874,39032P6,5
8013874,2886PARTY,5
22713804,3731VATICAN,5
23000431,5069WEST45,5
21998371,7757P2,5
22253978,2052SIC_09,5
23046064,3780OAK,4
22979948,5250P14,5
20162186,3731VATICANVIP,5
18193726,26448P37,5
23034949,285016,3
22979948,31213EMPMET,5
22395258,11143P1,4
23021114,12861P5,5
18460745,5022PARISMOULINROUGE,5
23081771,5304HAVANA,5
18460745,3588EIFFELTOWER2L,5
20977630,8264P1,5
21068789,5366KUV,4
21985789,21513P8,5
17259295,3731VATICAN,5
22783215,225005,5
16856932,2855ENCOUNTER,4
16856932,2855KSCAIR,5
16856932,14644P4,3
21656191,5821SEADIN,5
21656191,5423CHIAPTHTL,5
21656191,5552PROHIBIT,5
23140966,25657P1,5
22694854,3316NEGCAT,5
21656191,5423CHIHTLAPT,4
15393286,3142BARCELONA1,4
15393286,6494FOOD,5
15393286,5269DOWC,5
23060217,15225P8,5
22365990,36153P1,5
22937057,5046WAS_MON,5
22365990,5239P80,5
22711855,7081NYCDAY,5
22845359,6190PASS,1
21930020,5243MP1DAY,5
21716705,5070FARMHOUSE,5
22537899,36993P3,5
23021471,8173P44,5
21716705,5070CHIANTISAFARI,4
22807172,9349P23,5
22715132,13956P1,5
22709152,5070FLORENCEVESPA,5
15263208,39574P5,5
22375305,2495ABEX3,5
8826811,3443G1,5
8826811,3573_102,5
8826811,5594NIGHT,5
12547099,6839P16,1
12547099,6839P3,2
8826811,2230S15,5
22624606,7516P17,4
21048264,8261P5,5
8826811,2230P111,5
22712170,12254P24,5
23182152,3324SABA,5
8826811,3181GOWEST1,5
23165435,12413P2,5
1198315,3080BBSCC,5
1198315,3933FTWALL,5
1198315,5060VUN,5
1198315,5060VUT,5
1198315,5477NORTHERN,1
22059011,9297P3,5
1198315,2970P54,2
22836965,6057ESSAOUIRA,5
8372955,3780ST,5
14803442,53252DGORPI,5
20119832,2855KENNEDY,5
17884634,21468P3,5
22976625,3731VATICAN,5
